County
ALACHUA
BAKER
BAY
BRADFORD
BREVARD
BROWARD
CALHOUN
CHARLOTTE
CITRUS
CLAY
COLLIER
COLUMBIA
DE SOTO
DIXIE
DUVAL
ESCAMBIA
FLAGLER
FRANKLIN
GADSDEN
GILCHRIST
GLADES
GULF
HAMILTON
HARDEE
HENDRY
HERNANDO
HIGHLANDS
HILLSBOROUGH
HOLMES
INDIAN RIVER
JACKSON
JEFFERSON
LAFAYETTE
LAKE
LEE
LEON
LEVY
LIBERTY
MADISON
MANATEE
MARION
MARTIN
Miami-Dade
MONROE
NASSAU
OKALOOSA
OKEECHOBEE
ORANGE
OSCEOLA
PALM BEACH
PASCO
PINELLAS
POLK
PUTNAM
SANTA ROSA
SARASOTA
SEMINOLE
ST. JOHNS
ST. LUCIE
SUMTER
SUWANNEE
TAYLOR
UNION
VOLUSIA
WAKULLA
WALTON
WASHINGTON
Saint Johns
Saint Lucie
